Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Victoria,Australia,2011812,4,0,0
South Australia,Australia,2022233,2,0,0
Queensland,Australia,2041653,3,0,0
New South Wales,Australia,2011812,4,0,2
,Belgium,2041543,1,0,0
,Cambodia,1310815,1,0,0
"London, ON",Canada,2040003,1,0,0
"Toronto, ON",Canada,2040013,2,0,0
British Columbia,Canada,2011812,1,0,0
,Finland,1310815,1,0,0
,France,2010152,6,0,0
,Germany,2032053,12,0,0
Hong Kong,Hong Kong,2051313,21,1,0
,India,2032143,3,0,0
,Italy,1310815,2,0,0
,Japan,2041643,22,0,1
Macau,Macau,2040443,10,0,0
Jilin,Mainland China,2051103,54,0,2
Sichuan,Mainland China,2051013,301,1,24
Inner Mongolia,Mainland China,2050853,42,0,3
Shanghai,Mainland China,2050623,243,1,15
Shandong,Mainland China,2051013,307,0,15
Yunnan,Mainland China,2050743,124,0,5
Chongqing,Mainland China,2050913,376,2,15
Shaanxi,Mainland China,2050843,165,0,6
Heilongjiang,Mainland China,2051213,190,2,7
Hebei,Mainland China,2051123,135,1,6
Hunan,Mainland China,2051523,661,0,54
Zhejiang,Mainland China,2051513,895,0,78
Shanxi,Mainland China,2051523,81,0,5
Liaoning,Mainland China,2051523,89,0,4
Hainan,Mainland China,2051643,99,1,5
Gansu,Mainland China,2051623,62,0,6
Henan,Mainland China,2051503,764,2,47
Anhui,Mainland China,2051343,530,0,23
Beijing,Mainland China,2050543,253,1,24
Guangxi,Mainland China,2051203,150,0,13
Fujian,Mainland China,2051233,205,0,11
Guizhou,Mainland China,2051233,64,1,9
Guangdong,Mainland China,2051323,895,0,49
Jiangsu,Mainland China,2051243,341,0,23
Jiangxi,Mainland China,2050133,548,0,27
Hubei,Mainland China,2051643,16678,479,538
Tianjin,Mainland China,2050343,69,1,2
Ningxia,Mainland China,2040213,34,0,1
Tibet,Mainland China,2010152,1,0,0
Qinghai,Mainland China,2050313,17,0,3
Xinjiang,Mainland China,2050203,32,0,0
,Malaysia,2051543,12,0,0
,Nepal,1310815,1,0,0
,Philippines,2020333,2,1,0
,Russia,1311613,2,0,0
,Singapore,2051633,28,0,0
,South Korea,2051533,19,0,0
,Spain,2012343,1,0,0
,Sri Lanka,1310815,1,0,0
,Sweden,2010213,1,0,0
Taiwan,Taiwan,2041453,11,0,0
,Thailand,2041533,25,0,5
,UK,2010152,2,0,0
,United Arab Emirates,2020543,5,0,0
"Los Angeles, CA",US,2011953,1,0,0
"San Benito, CA",US,2030353,2,0,0
"Santa Clara, CA",US,2030043,2,0,0
"Orange, CA",US,2011953,1,0,0
"Boston, MA",US,2011943,1,0,0
"Chicago, IL",US,2011943,2,0,0
"Tempe, AZ",US,2011943,1,0,0
"Seattle, WA",US,2011943,1,0,0
,Vietnam,2032143,8,0,1
