Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
,Australia,2011812,13,0,2
,Belgium,2041543,1,0,0
,Cambodia,1310815,1,0,0
,Canada,2011812,4,0,0
,Finland,1310815,1,0,0
,France,2010152,6,0,0
,Germany,2032053,12,0,0
,Hong Kong,2051313,21,1,0
,India,2032143,3,0,0
,Italy,1310815,2,0,0
,Japan,2041643,22,0,1
,Macau,2040443,10,0,0
,Mainland China,2050203,24405,492,1020
,Malaysia,2051543,12,0,0
,Nepal,1310815,1,0,0
,Philippines,2020333,2,1,0
,Russia,1311613,2,0,0
,Singapore,2051633,28,0,0
,South Korea,2051533,19,0,0
,Spain,2012343,1,0,0
,Sri Lanka,1310815,1,0,0
,Sweden,2010213,1,0,0
,Taiwan,2041453,11,0,0
,Thailand,2041533,25,0,5
,UK,2010152,2,0,0
,United Arab Emirates,2020543,5,0,0
,US,2011943,11,0,0
,Vietnam,2032143,8,0,1
