"Country,
Other",Total Cases,"New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Serious,
Critical",Region
China,78073,9,2715,0,30060,8745,
S. Korea,1261,284,12,1,24,18,
Diamond Princess,705,14,4,0,10,36,
Italy,470,147,12,1,3,35,
Japan,172,11,3,2,23,13,
Iran,139,44,19,3,25,0,
Singapore,93,2,0,0,62,7,
Hong Kong,89,4,2,0,18,6,
USA,60,3,0,0,6,0,
Thailand,40,3,0,0,22,2,
Bahrain,33,10,0,0,0,0,
Taiwan,32,1,1,0,5,1,
Germany,27,9,0,0,15,2,
Kuwait,26,15,0,0,0,0,
Australia,23,1,0,0,15,0,
Malaysia,22,0,0,0,20,0,
France,18,4,2,1,11,1,
Vietnam,16,0,0,0,16,0,
Spain,13,4,0,0,2,0,
U.K.,13,0,0,0,8,0,
U.A.E.,13,0,0,0,3,2,
Canada,12,1,0,0,3,0,
Macao,10,0,0,0,6,0,
Iraq,5,0,0,0,0,0,
Oman,4,0,0,0,0,0,
Philippines,3,0,1,0,2,0,
Croatia,3,2,0,0,0,0,
India,3,0,0,0,3,0,
Austria,2,0,0,0,0,0,
Finland,2,1,0,0,1,0,
Israel,2,0,0,0,0,0,
Lebanon,2,1,0,0,0,0,
Pakistan,2,2,0,0,0,0,
Russia,2,0,0,0,2,0,
Sweden,2,1,0,0,0,0,
Afghanistan,1,0,0,0,0,0,
Algeria,1,0,0,0,0,0,
Belgium,1,0,0,0,1,0,
Brazil,1,0,0,0,0,0,
Cambodia,1,0,0,0,1,0,
Egypt,1,0,0,0,1,0,
Georgia,1,1,0,0,0,0,
Greece,1,1,0,0,0,0,
North Macedonia,1,1,0,0,0,0,
Nepal,1,0,0,0,1,0,
Norway,1,1,0,0,0,0,
Romania,1,1,0,0,0,0,
Sri Lanka,1,0,0,0,1,0,
Switzerland,1,0,0,0,0,0,
