Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
,Australia,2020021933,15,0,2
,Belgium,2020021543,1,0,0
,Cambodia,2020010815,1,0,0
,Canada,2020020003,7,0,0
,Finland,2020020003,1,0,1
,France,2020020953,11,0,0
,Germany,2020021933,16,0,0
,Hong Kong,2020020943,49,1,0
,India,2020022143,3,0,0
,Italy,2020021753,3,0,0
,Japan,2020020253,26,0,9
,Macau,2020021423,10,0,1
,Mainland China,2020020123,44641,1113,4730
,Malaysia,2020020313,18,0,3
,Nepal,2020010815,1,0,0
,Others,2020021603,135,0,0
,Philippines,2020021643,3,1,0
,Russia,2020011613,2,0,0
,Singapore,2020021643,47,0,9
,South Korea,2020020003,28,0,4
,Spain,2020022033,2,0,0
,Sri Lanka,2020020343,1,0,1
,Sweden,2020020213,1,0,0
,Taiwan,2020020913,18,0,1
,Thailand,2020021843,33,0,10
,UK,2020021903,8,0,0
,United Arab Emirates,2020020033,8,0,1
,US,2020021943,13,0,3
,Vietnam,2020021643,15,0,6
